Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.1;Coordinar con productores locales para la creación de un mercados campesino a través de la postulación a financiamiento de Indap;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción agrícola;Actas de reuniones establecidas.;2030;$0;Potenciar la economía verde;Corral;150
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.2;Gestionar la realización de talleres y charlas de transferencia técnica a nivel local de INIA sobre agroecología, SAG sobre agricultura orgánica en espacio municipal;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción agrícola;Oficios a INIA e SAG sobre la realización de charlas a nivel local;2030;$0;Potenciar la economía verde;Corral;151
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.3;Difundir a través de una charla informativa respecto a las opciones de financiamiento existentes de prácticas alternativas de quemas agrícolas, alternativas de fertilización orgánica y cuidado de suelos de programas del SAG;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción agrícola;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;Corral;151
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.4;Instancia de intercambio de conocimientos entre las comunidades indígenas y los productores locales para promover una agricultura más sostenible y resiliente al cambio climático;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción agrícola;Registros de instancias de intercambio de saberes de comunidades indígenas;2030;$7.500.000;Potenciar la economía verde;Corral;152
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.1;Desarrollar instancias de intercambio de semillas de productores locales para aumentar la diversidad de cultivos agrícolas, rescatando y valorizando especies y variedades locales, en especial aquellas valoradas por los pueblos originarios.;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo.;Difusión de instancias de intercambio de semillas;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registros de instancias de intercambio de semillas gestionadas por la municipalidad.;2030;$7.500.000;Potenciar la economía verde;Corral;152
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.2;Difundir a través de una charla informativa los programas existentes del INIA para la adquisición de semillas de especies y variedades adaptadas a las nuevas condiciones agroclimáticas.;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo.;Difusión de instancias de intercambio de semillas;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;Corral;153
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.3;Gestión de talleres y charlas informativas de la CNR a nivel local en base a sus programas disponibles, sobre soluciones que se adapten al cambio climático, apoyando al menos con la facilitación de lugares y contacto con productores locales.;Oficina de Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo.;Difusión de instancias de intercambio de semillas;Indicador 1 Número de productores que incorporan prácticas adaptativas;Oficio a CNR con solicitud de implementar charlas bajo programa existente.;2030;$2.500.000;Potenciar la economía verde;Corral;153
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.1;Conformar mesa de trabajo con operadores turísticos comunales, con enfoque de género y en conjunto con las comunidades mapuches, con el fin de promover y potenciar las líneas de experiencias turísticas alternativas a las que se encuentran en zonas de riesgo por cambio climático.;Unidad de Turismo;Sernatur;Presupuesto general del Ministerio de Obras Públicas (MOP), del Fondo Nacional de Desarrollo Regional (FNDR), presupuesto del Gobierno Regional (Gore) y otros especificados en el Plan Maestro de Turismo Sustentable de Corral.;Apoyar a los actores locales en el acceso a capacitaciones desarrolladas por Sernatur, y apoyar en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico.;Indicador 1: índice de saturación de destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Mesa de trabajo establecida;2030;$0;Potenciar la economía verde;Corral;154
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.2;Elaboración de al menos una campaña anual de difusión de destinos turísticos diferentes de los naturales ubicados en zonas de riesgo por cambio climático.;Unidad de Turismo;Sernatur;Presupuesto general del Ministerio de Obras Públicas (MOP), del Fondo Nacional de Desarrollo Regional (FNDR), presupuesto del Gobierno Regional (Gore) y otros especificados en el Plan Maestro de Turismo Sustentable de Corral.;Apoyar a los actores locales en el acceso a capacitaciones desarrolladas por Sernatur, y apoyar en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico.;Indicador 1: índice de saturación de destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Campaña de comunicación lanzada en plataformas locales, redes sociales y/u otro medio de comunicación local.;2030;$23.000.000;Potenciar la economía verde;Corral;155
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.3;Proponer la implementación del índice de saturación en los destinos turísticos con riesgos por cambio climático en la mesa público-privada de la ZOIT Corral.;Unidad de Turismo;Sernatur;Presupuesto general del Ministerio de Obras Públicas (MOP), del Fondo Nacional de Desarrollo Regional (FNDR), presupuesto del Gobierno Regional (Gore) y otros especificados en el Plan Maestro de Turismo Sustentable de Corral.;Apoyar a los actores locales en el acceso a capacitaciones desarrolladas por Sernatur, y apoyar en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico.;Indicador 1: índice de saturación de destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Actas con la temática planteada.;2026;$0;Potenciar la economía verde;Corral;155
