Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.1;Coordinar con productores locales para crear un mercado campesino, postulando a financiamiento de Indap.;Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Apoyar instancias locales productivas sustentables como mercados existentes.;Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas.;2030;;Potenciar la economía verde;Futrono;151
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.2;Asesorar iniciativas locales de prácticas productivas sostenibles en la postulación a fondos que permitan darle continuidad.;Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Apoyar instancias locales productivas sustentables como mercados existentes.;Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas.;2030;;Potenciar la economía verde;Futrono;152
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.3;Gestionar la realización de talleres y charlas de transferencia técnica a nivel local de INIA sobre agroecología, SAG sobre agricultura orgánica, en espacio municipal;Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Apoyar instancias locales productivas sustentables como mercados existentes.;Número de agricultores que aplican prácticas sostenibles en la producción.;Oficios a INIA e SAG sobre la realización de charlas a nivel local;2030;;Potenciar la economía verde;Futrono;152
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.4;Difundir a través de una charla informativa las opciones de financiamiento existentes de prácticas alternativas de quemas agrícolas, alternativas de fertilización orgánica y cuidado de suelos de programas del SAG;Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Apoyar instancias locales productivas sustentables como mercados existentes.;Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de la realización de charla informativa;2030;;Potenciar la economía verde;Futrono;152
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.5;Difundir a través de una charla informativa a productores lecheros los pasos para certificarse bajo el programa "Chile Origen Consciente", bajo el Estándar Sector Lácteo;Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Apoyar instancias locales productivas sustentables como mercados existentes.;Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de la realización de charla informativa;2030;;Potenciar la economía verde;Futrono;153
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.6;Desarrollar una instancia de intercambio de conocimientos entre las comunidades indígenas y los productores locales, para promover una agricultura más sostenible y resiliente al cambio climático;Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Apoyar instancias locales productivas sustentables como mercados existentes.;Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de instancias de intercambio de saberes de comunidades indígenas;2030;;Potenciar la economía verde;Futrono;153
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.1;Generar instancias de intercambio de semillas de productores locales para aumentar la diversidad de cultivos agrícolas, rescatando y valorizando especies y variedades locales, en especial aquellas valoradas por los pueblos originarios.;Programas de fomento productivo;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa Promoción de entornos saludables de Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Número de productores que incorporan prácticas adaptativas;Registros de instancias de intercambio de semillas gestionadas por la Municipalidad.;2030;;Potenciar la economía verde;Futrono;154
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.2;Difundir a través de una charla informativa los programas del INIA existentes para la adquisición de semillas de especies y variedades adaptadas a las nuevas condiciones agroclimáticas.;Programas de fomento productivo;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa Promoción de entornos saludables de Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Número de productores que incorporan prácticas adaptativas;Registros de la realización de charla informativa;2030;;Potenciar la economía verde;Futrono;155
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.3;Levantar y difundir información de Odepa e INIA respecto a alternativas de manejo que permitan a los productores adaptarse mejor a las condiciones locales, como cambio en los calendarios de siembra, estacionalidad, calendarios ancestrales que utilizan los pueblos originarios y reducción del estrés térmico que sean pertinentes a la comuna.;Programas de fomento productivo;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa Promoción de entornos saludables de Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Número de productores que incorporan prácticas adaptativas;Oficio a Odepa e INIA sobre información recopilada para adaptación al cambio climático.;2030;;Potenciar la economía verde;Futrono;155
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.4;Fortalecer y promover huertos comunitarios existentes (prioridad) y/o creación de nuevos huertos comunitarios, a través del apoyo a la postulación de fondos para la instalación/mantención de huertos comunitarios que promuevan el rescate de conocimientos ancestrales y especies agrícolas locales.;Programas de fomento productivo;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa Promoción de entornos saludables de Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Número de productores que incorporan prácticas adaptativas;Registro de actividades de fortalecimiento y promoción y/o contrato tramitado con proveedor para creación de uno nuevo.;2030;;Potenciar la economía verde;Futrono;156
