Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.1;Coordinar con productores locales para la creación de un mercados campesino a través de la postulación al Programa Mercados Campesinos de Indap.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas;2030;$0;Potenciar la economía verde;La Unión;162
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.2;Sensibilizar a través de una charla informativa respecto al programa Transición a la Agricultura Sostenible de Indap a los productores de los Mercados Campesinos.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas;2030;$0;Potenciar la economía verde;La Unión;163
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.3;Asesorar iniciativas locales de prácticas productivas sostenibles en la postulación a fondos que permitan darles continuidad.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas;2030;$2.000.000;Potenciar la economía verde;La Unión;163
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.4;Sensibilizar a través de una charla informativa a productores lecheros para certificarse bajo el programa Chile Origen Consciente, bajo el Estándar Sector Lácteo.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;La Unión;164
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.5;Gestionar para la realización de talleres y charlas de transferencia técnica a nivel local de INIA sobre agroecológica, y SAG sobre agricultura orgánica, en espacio municipal.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Oficios a INIA e SAG sobre la realización de charlas a nivel local;2030;$0;Potenciar la economía verde;La Unión;164
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.6;Difundir a través de una charla informativa respecto a las opciones de financiamiento existentes de prácticas alternativas de quemas agrícolas, alternativas de fertilización orgánica y cuidado de suelos de programas del SAG.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;La Unión;165
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.7;Gestionar la creación de "Sello de producto local" para la comuna de La Unión, que agregue valor a productos locales producidos bajo prácticas sostenibles.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Protocolo de sello "Producto Local La Unión";2030;$3.200.000;Potenciar la economía verde;La Unión;165
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.8;Instancia de intercambio de conocimientos entre las comunidades indígenas y los productores locales para promover una agricultura más sostenible y resiliente al cambio climático.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de instancias de intercambio de saberes de comunidades indígenas;2030;$1.500.000;Potenciar la economía verde;La Unión;166
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.1;Generar instancias de intercambio de semillas de productores locales para aumentar la diversidad de cultivos agrícolas, rescatando y valorizando especies y variedades locales, en especial aquellas valoradas por los pueblos originarios.;Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa “Promoción de entornos saludables” del sistema Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registros de instancias de intercambio de semillas gestionadas por la Municipalidad.;2030;$1.500.000;Potenciar la economía verde;La Unión;167
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.2;Difundir a través de una charla informativa los programas existentes del INIA para la adquisición de semillas de especies y variedades adaptadas a las nuevas condiciones agroclimáticas.;Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa “Promoción de entornos saludables” del sistema Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;La Unión;167
