Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación — Mitigación;Desarrollo Económico Verde 1.1;Gestionar la creación de "Sello de producto local" para la comuna de Lanco, que agregue valor a productos locales producidos bajo prácticas sostenibles.;Oficina Municipal de Desarrollo Local (Omdel) y Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo Escuela Campesina de Agroecología de Huipel.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción/ N° Total de agricultores;Protocolo de sello "Producto Local Lanco";2030;$16,000,000;Potenciar la economía verde;Lanco;193
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación — Mitigación;Desarrollo Económico Verde 1.2;Coordinación con productores locales para la creación de un Mercado Campesino a través de la postulación al Programa Mercados Campesinos de Indap;Oficina Municipal de Desarrollo Local (Omdel) y Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo Escuela Campesina de Agroecología de Huipel.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción/ N° Total de agricultores;Actas de reuniones establecidas.;2030;$0;Potenciar la economía verde;Lanco;194
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación — Mitigación;Desarrollo Económico Verde 1.3;Coordinar con productores establecidos en el Mercado Campesino, para su participación en programa de Transición a la Agricultura Sostenible de Indap;Oficina Municipal de Desarrollo Local (Omdel) y Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo Escuela Campesina de Agroecología de Huipel.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción/ N° Total de agricultores;Actas de reuniones establecidas.;2030;$0;Potenciar la economía verde;Lanco;194
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación — Mitigación;Desarrollo Económico Verde 1.4;Asesorar iniciativas locales de prácticas productivas sostenibles en la postulación a fondos que permitan darle continuidad.;Oficina Municipal de Desarrollo Local (Omdel) y Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo Escuela Campesina de Agroecología de Huipel.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción/ N° Total de agricultores;Actas de reuniones establecidas.;2030;$10,000,000;Potenciar la economía verde;Lanco;195
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación — Mitigación;Desarrollo Económico Verde 1.5;Gestión para la realización de talleres y charlas de transferencia técnica a nivel local de INIA sobre Agroecología, SAG sobre Agricultura Orgánica en espacio municipal;Oficina Municipal de Desarrollo Local (Omdel) y Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo Escuela Campesina de Agroecología de Huipel.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción/ N° Total de agricultores;Oficios a INIA e SAG sobre la realización de charlas a nivel local;2030;$0;Potenciar la economía verde;Lanco;195
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación — Mitigación;Desarrollo Económico Verde 1.6;Sensibilizar a través de una charla informativa respecto a las opciones de financiamiento existentes para la reducción de quemas agrícolas, del programa SIRSD-S del SAG en las actividades de Empleo de métodos de intervención del suelo.;Oficina Municipal de Desarrollo Local (Omdel) y Oficina de Desarrollo Rural;Indap (Prodesal, PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con servicios que realicen capacitaciones a productores de la comuna. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo Escuela Campesina de Agroecología de Huipel.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción/ N° Total de agricultores;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;Lanco;196
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.1;Difusión de fondos concursables para la instalación/ mantención de huertos comunitarios que promuevan el rescate de conocimientos ancestrales y especies agrícolas locales.;Omdel;Indap (Prodesal, PDTI), INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Presupuesto municipal para organizar instancias de intercambio de semillas. Iniciativas de huertos urbanos podrían ser financiadas por el Ministerio de Desarrollo Social y Familia.;Se requiere que Odepa e INIA levanten y desarrollen información sobre mejores prácticas en la comuna para la adaptación a las nuevas condiciones climáticas. Alianzas locales para implementar prácticas locales, tales como huertos comunitarios.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Listado de asistentes a charlas informativas;2030;$0;Potenciar la economía verde;Lanco;196
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.2;Colaboración y apoyo a agricultores para la adquisición de semillas de especies y variedades adaptadas a las nuevas condiciones agroclimáticas a través del programa de INIA.;Omdel;Indap (Prodesal, PDTI), INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Presupuesto municipal para organizar instancias de intercambio de semillas. Iniciativas de huertos urbanos podrían ser financiadas por el Ministerio de Desarrollo Social y Familia.;Se requiere que Odepa e INIA levanten y desarrollen información sobre mejores prácticas en la comuna para la adaptación a las nuevas condiciones climáticas. Alianzas locales para implementar prácticas locales, tales como huertos comunitarios.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registro de agricultores postulantes al programa Siembra por Chile;2030;$15,000,000;Potenciar la economía verde;Lanco;197
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.3;Levantamiento y difusión de información respecto a alternativas de manejo que permitan a los productores adaptarse mejor a las condiciones locales, como cambio en los calendarios de siembra, estacionalidad, reducción del estrés térmico, entre otras, que sean pertinentes a la comuna.;Omdel;Indap (Prodesal, PDTI), INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Presupuesto municipal para organizar instancias de intercambio de semillas. Iniciativas de huertos urbanos podrían ser financiadas por el Ministerio de Desarrollo Social y Familia.;Se requiere que Odepa e INIA levanten y desarrollen información sobre mejores prácticas en la comuna para la adaptación a las nuevas condiciones climáticas. Alianzas locales para implementar prácticas locales, tales como huertos comunitarios.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Oficio a Odepa e INIA sobre información recopilada para adaptación al cambio climático.;2030;$2,500,000;Potenciar la economía verde;Lanco;197
Contribuir a la conservación y gestión sustentable de humedales;Adaptación — Mitigación;Servicios Ecosistémicos 1.1;Evaluar, seleccionar e implementar una figura de protección para humedales en la comuna.;Departamento de Medio Ambiente;Seremi del Medio Ambiente Oficina de Turismo (municipal);Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también: fondos Subdere, fondo GEF, fondos de ONG, financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Desarrollo del Plan Regulador Intercomunal que identifique humedales rurales.;Indicador 1 Porcentaje de avance en protección de humedales vía figura formal: número de humedales protegidos por medio de figura formal respecto a la cantidad de humedales seleccionados.;Informe con la evaluación y selección de la figura de protección para cada humedal seleccionado, y antecedentes enviados mediante oficios al GORE para su incorporación a IPTs nivel regional.;2030;$35,000,000;Conservar y mejorar los servicios ecosistémicos;Lanco;198
