Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.1";"Coordinación con productores locales para la creación de un mercado campesino a través de la postulación al Programa Mercados Campesinos de Indap.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Actas de reuniones establecidas";"2030";"$0";"Potenciar la economía verde";"Máfil";"138"
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.2";"Difusión a través de una charla informativa respecto al programa Transición a la Agricultura Sostenible de Indap a los productores de los Mercados Campesinos.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Registro de la charla";"2030";"$0";"Potenciar la economía verde";"Máfil";"139"
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.3";"Asesorar iniciativas locales de prácticas productivas sostenibles en la postulación a fondos que permitan darles continuidad.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Actas de reuniones establecidas";"2030";"$9.000.000";"Potenciar la economía verde";"Máfil";"139"
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.4";"Gestión para la realización de talleres y charlas de transferencia técnica a nivel local de INIA, sobre agroecología, y SAG, sobre agricultura orgánica, en espacio municipal.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Oficios a INIA e SAG sobre la realización de charlas a nivel local";"2030";"$0";"Potenciar la economía verde";"Máfil";"140"
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.5";"Difusión a través de una charla informativa respecto a las opciones de financiamiento existentes de prácticas alternativas de quemas agrícolas, alternativas de fertilización orgánica y cuidado de suelos del programa SIRSD-S del SAG, en las actividades de empleo de métodos de intervención del suelo.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Registros de la realización de charla informativa";"2030";"$0";"Potenciar la economía verde";"Máfil";"140"
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.6";"Sensibilizar a través de una charla a productores lecheros a certificarse bajo el programa Chile Origen Consciente, bajo el Estándar Sector Lácteo.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Registros de la realización de charla informativa";"2030";"$0";"Potenciar la economía verde";"Máfil";"141"
"Fomento de producción y consumo local de producción agrícola sostenible";"Adaptación - Mitigación";"Desarrollo Económico Verde 1.7";"Instancia de intercambio de conocimientos entre las comunidades indígenas y los productores locales para promover una agricultura más sostenible y resiliente al cambio climático.";"Fomento Productivo, Oficina de la Mujer (mujeres emprendedoras)";"Indap(Prodesal, PDTI), INIA, SAG";"Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.";"Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo cooperativas de maquinaria agrícola sustentable o agroturismo sustentable";"Número de agricultores que aplican prácticas sostenibles en la producción/ número total de agricultores";"Registros de instancias de intercambio de saberes de comunidades indígenas";"2030";"$7.500.000";"Potenciar la economía verde";"Máfil";"141"
"Fomentar la diversidad agrícola con capacidad adaptativa";"Adaptación";"Desarrollo Económico Verde 2.1";"Generación de instancias de intercambio de semillas de productores locales para aumentar la diversidad de cultivos agrícolas, rescatando y valorizando especies y variedades locales, en especial aquellas valoradas por los pueblos originarios.";"Fomento Productivo";"Indap (Prodesal, PDTI) INIA, Odepa";"Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Presupuesto municipal para organizar instancias de intercambio de semillas.";"Se requiere que Odepa e INIA levanten y desarrollen información sobre mejores prácticas en la comuna para la adaptación a las nuevas condiciones climáticas. Alianzas locales para implementar prácticas de adaptación, además de participación en instancias de intercambio de semillas. Por ejemplo, la Eco Aldea de Huillicoigüe.";"Número de participantes en instancias de intercambio de semillas";"Registros de instancias de intercambio de semillas gestionadas por la municipalidad";"2030";"$7.500.000";"Potenciar la economía verde";"Máfil";"142"
"Fomentar la diversidad agrícola con capacidad adaptativa";"Adaptación";"Desarrollo Económico Verde 2.2";"Colaboración y apoyo a agricultores para la adquisición de semillas de especies y variedades adaptadas a las nuevas condiciones agroclimáticas a través del programa de INIA.";"Fomento Productivo";"Indap (Prodesal, PDTI) INIA, Odepa";"Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Presupuesto municipal para organizar instancias de intercambio de semillas.";"Se requiere que Odepa e INIA levanten y desarrollen información sobre mejores prácticas en la comuna para la adaptación a las nuevas condiciones climáticas. Alianzas locales para implementar prácticas de adaptación, además de participación en instancias de intercambio de semillas. Por ejemplo, la Eco Aldea de Huillicoigüe.";"Número de participantes en instancias de intercambio de semillas";"Registro de agricultores postulantes al programa Siembra por Chile";"2030";"$15.000.000";"Potenciar la economía verde";"Máfil";"143"
"Fomentar la diversidad agrícola con capacidad adaptativa";"Adaptación";"Desarrollo Económico Verde 2.3";"Levantar información con Odepa e INIA respecto de alternativas de manejo que permitan a los productores adaptarse mejor a las condiciones locales, como cambio en los calendarios de siembra, estacionalidad, reducción del calendarios de siembra, estacionalidad, calendarios ancestrales que utilizan los pueblos originarios que sean pertinentes a la comuna, y posterior difusión entre productores.";"Fomento Productivo";"Indap (Prodesal, PDTI) INIA, Odepa";"Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Presupuesto municipal para organizar instancias de intercambio de semillas.";"Se requiere que Odepa e INIA levanten y desarrollen información sobre mejores prácticas en la comuna para la adaptación a las nuevas condiciones climáticas. Alianzas locales para implementar prácticas de adaptación, además de participación en instancias de intercambio de semillas. Por ejemplo, la Eco Aldea de Huillicoigüe.";"Número de participantes en instancias de intercambio de semillas";"Oficio a ODEPA e INIA sobre información recopilada para adaptación al cambio climático";"2030";"$2.500.000";"Potenciar la economía verde";"Máfil";"143"
